"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Potential Savings (bytes)"
"Image","https://www.columbiadoctors.org/about-us","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/h1/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/1train","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/annual-report-2021-2022","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/annual-report-2021-2022/community","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/annual-report-2021-2022/deans-message","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/annual-report-2021-2022/leadership-message","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/annual-report-2021-2022/excellence-patient-care","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/annual-report-2021-2022/innovations","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
"Image","https://www.columbiadoctors.org/about-us/careers","https://www.columbiadoctors.org/sites/default/files/logo-cd-desktop-white.svg?tbn5gw","18465","ColumbiaDoctors","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/header/div[3]/div/div[2]/div/div[1]/div/div/a/picture/img","Header","HTML & Rendered HTML","300x43","476x69","476x68","-27866"
